Entity,Code,Year,Oil consumption - TWh,Country name,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25,Population aged 15 to 64 years,Population older than 15 years,Population older than 18 years,Population at age 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years,Oil consumption per capita - TWh,Cluster
Denmark,DNK,1973,208.22063,Denmark,5008581,73136,363584,1149373,1898394,3211042,3859127,3637238,74612,290448,409765,376024,370389,803368,621310,566791,577121,500930,305865,103577,9776,81,4.16E-05,5
Ecuador,ECU,1973,16.284168,Ecuador,6720451,245113,1133506,2963542,4291792,3505332,3756900,3311639,231710,888393,983900,846136,718774,1085903,710205,504521,351369,234605,117273,32121,2129,9,2.42E-06,0
Egypt,EGY,1973,79.572014,Egypt,37120780,1341687,5882494,15344302,22425250,20242052,21776464,19388190,1216704,4540807,5025550,4436258,3864503,5838024,3813810,3417406,2440683,1515866,707990,168651,9531,12,2.14E-06,0
Finland,FIN,1973,156.46223,Finland,4666168,57336,308694,1066945,1914076,3132731,3599202,3354190,59581,251358,370584,387667,412194,843032,582721,571465,486397,429299,217020,53663,3411,21,3.35E-05,1
France,FRA,1973,1506.0256,France,51814076,842588,4197621,12563114,20963764,32366028,39249760,36767292,858846,3355033,4194625,4170868,4126710,8022064,6082315,6637760,4861517,5008888,3276931,1116637,116937,1204,2.91E-05,6
Germany,DEU,1973,1927.148,Germany,78667470,843024,5023477,17751124,28707248,49609224,60915716,57540664,933047,4180453,6441271,6286375,5550211,10135329,12002636,9532021,7727623,8937116,5404916,1515952,109913,633,2.45E-05,6
Greece,GRC,1973,117.920204,Greece,8666390,140026,721363,2119840,3268293,5508698,6545726,6157309,141768,581337,728725,669752,625333,1079425,1172693,1258061,914860,841358,470672,158373,24951,824,1.36E-05,2
Hong Kong,HKG,1973,57.120667,Hong Kong,4234756,79549,381955,1414094,2321008,2615167,2820613,2508037,77654,302406,475366,556773,498925,672057,446399,493826,372408,217605,93227,23836,2330,49,1.35E-05,2
Hungary,HUN,1973,96.752205,Hungary,10410508,150036,739218,2083467,3843483,7054212,8326995,7820131,146828,589182,668147,676102,904572,1603519,1374507,1436806,1117965,1105726,618715,154804,10381,46,9.29E-06,4
Iceland,ISL,1973,7.9397244,Iceland,212377,4545,21081,66218,106552,127088,146156,132844,4361,16536,22322,22815,21626,34357,22810,22383,18368,13986,9015,3333,278,3,3.74E-05,1
India,IND,1973,276.95908,India,596107460,20834574,92714300,242226940,357647870,331640540,353879900,315214530,19127382,71879736,78803820,70708800,62707708,93422280,69020920,53978624,38658596,23895292,10089480,2011054,95938,653,4.65E-07,0
Indonesia,IDN,1973,108.37455,Indonesia,124709060,4346583,20080420,52790730,74692460,67808210,71918180,64216772,4097459,15733836,17598748,15111560,12268478,18226710,15651394,11526685,7367594,4739929,1822230,301929,13231,153,8.69E-07,0
Iran,IRN,1973,189.24191,Iran,30981904,1143818,5217548,13446594,19467532,16433676,17535286,15490433,1069291,4073730,4384218,3844828,3288426,4694840,3349360,2737465,1769643,1070575,498842,119512,6623,23,6.11E-06,4
Iraq,IRQ,1973,39.85893,Iraq,10872140,450151,2066707,4932085,6804062,5447592,5940046,5377831,427774,1616556,1683309,1182069,980725,1597340,1114962,814239,668373,489480,232295,40740,1892,9,3.67E-06,0
Ireland,IRL,1973,63.811314,Ireland,3062017,67756,329171,951165,1456979,1774253,2110801,1942510,67135,261415,317917,304077,275440,438111,306537,299257,310447,257192,161724,55974,6119,51,2.08E-05,6
Israel,ISR,1973,72.303604,Israel,3214277,81962,395861,1047537,1676923,1926321,2166724,1976877,80794,313899,334606,317070,316456,563602,336007,312988,266637,231403,108879,28237,2515,16,2.25E-05,6
Italy,ITA,1973,1217.0194,Italy,54379588,861451,4363674,13356659,21072168,34627300,41022304,38650384,867336,3502223,4639315,4353670,3883717,7491151,7330818,7264450,5680732,5385326,2949078,954801,82232,623,2.24E-05,6
Japan,JPN,1973,3111.068,Japan,109679470,2051416,9636168,26054146,44537470,75213300,83624510,78891770,1979069,7584752,8464847,7953131,8104820,20375056,17679924,14970560,9921656,7393149,4033994,1060638,84711,818,2.84E-05,6
Kuwait,KWT,1973,54.197147,Kuwait,970539,37813,179439,436929,611159,517660,533610,479295,36733,141626,146987,110503,88297,169311,130863,79846,39448,16221,7712,1825,87,0,5.58E-05,3
Lower-middle-income countries,,1973,968.78406,Lower-middle-income countries,1344344000,48186604,214843700,559027800,811752450,733842370,785312100,699224100,44381636,166657090,182463170,161720900,138720260,204844030,155283800,120945140,83300696,53409120,23388456,5086143,334481,4152,7.21E-07,0
Luxembourg,LUX,1973,19.464945,Luxembourg,349199,3927,21881,73956,125721,230200,275238,259579,4250,17954,25769,26306,26427,49912,47744,49170,37249,37006,21529,5743,458,5,5.57E-05,3
Malaysia,MYS,1973,52.4388,Malaysia,11062667,348168,1660048,4759672,7120731,5990083,6302993,5480997,336564,1311880,1580410,1519214,1317589,1788993,1209637,846358,609349,374805,129698,25093,1471,2,4.74E-06,0
Mexico,MEX,1973,316.24557,Mexico,55228200,2187021,10055147,25868568,36559452,27559380,29359254,25672288,2073512,7868126,8620090,7193331,5909349,8566042,5640697,3964987,2544392,1649273,819143,239084,26287,380,5.73E-06,4
Morocco,MAR,1973,30.294249,Morocco,16489462,652245,2924677,7608398,10779218,8372742,8881054,7764251,603416,2272432,2503027,2180694,1778597,2396146,1785472,1440310,734891,457524,244387,41577,2150,10,1.84E-06,0
Netherlands,NLD,1973,487.92667,Netherlands,13447575,203376,1139071,3550524,5823643,8484810,9896844,9207364,219452,935695,1206568,1204885,1139301,2257934,1650881,1516726,1337486,1085762,662987,224030,21737,207,3.63E-05,1
New Zealand,NZL,1973,55.962757,New Zealand,2980643,61102,305092,923306,1445924,1798110,2057284,1884167,61744,243990,302049,316165,279149,460029,340667,317695,280747,216329,115792,41904,4972,53,1.88E-05,2
Norway,NOR,1973,102.16668,Norway,3960705,62181,324130,956872,1566063,2477218,3003721,2818029,64407.996,261949,326308,306434,308002,608914,417628,440146,487568,395648,253197,84023,8595,112,2.58E-05,6
Oman,OMN,1973,15.375914,Oman,728604,32574.002,140306,339271,464928,363703,389333,345224,29396,107732,109873,89092,70411,106149,77632,54593,39979,26227,11821,2381,140,0,2.11E-05,6
Pakistan,PAK,1973,43.33429,Pakistan,64285630,2498069,11012470,28237654,39685836,33909280,36047964,32020188,2270042,8514401,9299080,7926103,6412377,9632608,7409374,5388358,3765999,2233374,963238,228893,13743,13,6.74E-07,0
Peru,PER,1973,55.933968,Peru,14674787,553514,2505559,6421332,9240032,7657808,8253271,7305751,518435.97,1952045,2109323,1806450,1528833,2323888,1588823,1143702,772009,529281,266326,88704,11705,184,3.81E-06,0
Philippines,PHL,1973,113.71714,Philippines,40406230,1485482,6939365,18469218,26567656,20810608,21936174,19107782,1416004,5453883,6112947,5416906,4523363,6341270,4281176,3004095,1976308,1158626,466370,143989,40977,840,2.81E-06,0
Poland,POL,1973,139.72865,Poland,33270012,574292,2650121,8230546,14980662,22032898,25039126,22941970,551837,2075829,2567594,3012831,3492156,5603999,4154646,4411147,2860820,2761550,1400177,330088,24544,338,4.20E-06,0
Portugal,PRT,1973,72.85421,Portugal,8957960,168291,812759,2495326,3936852,5548716,6462516,5997454,173365,644468,847604,834963,757582,1259362,1078539,1108934,917989,778179,411565,139344,11022,118,8.13E-06,4
Qatar,QAT,1973,1.6680157,Qatar,163741,5692,25434,62079,96772,98568,101662,91124,5346,19742,19428,17217,17516,33596,25787,13457,6362,3171,1419,341,13,0,1.02E-05,4
Romania,ROU,1973,155.25238,Romania,20628254,381572,1926511,4908299,8372525,13792222,15719924,14700478,372434,1544939,1577595,1404193,1719879,3121944,3048560,3001269,1884953,1815500,891177,225475,11167,30,7.53E-06,4
Saudi Arabia,SAU,1973,283.90036,Saudi Arabia,7088765,313017,1352265,3185352,4491402,3688543,3903407,3478367,285012,1039248,1020833,812254,692273,1137875,826480,555667,353654,214867,99773,21676,1142,6,4.00E-05,5
Singapore,SGP,1973,89.27612,Singapore,2168370,46032,221469,769604,1273596,1318530,1398762,1227452,45288,175437,259539,288596,276917,388092,258750,195889,142787,93868,34970,7016,473,4,4.12E-05,5
Slovakia,SVK,1973,64.09421,Slovakia,4641292,88331,407334,1218541,2101394,2975745,3422729,3148884,83127,319003,394407,416800,456177,751593,551460,577049,419336,398278,216340,48914,3582,22,1.38E-05,2
South Africa,ZAF,1973,135.76929,South Africa,24382514,873971,4003616,10129866,14840756,13365105,14252511,12705720,827792,3129645,3313031,2813219,2512737,4159101,2782954,1983314,1406558,911656,390372,95963,9856,137,5.57E-06,4
South Korea,KOR,1973,142.77954,South Korea,34659716,929793,4673622,14013741,20746940,19392202,20645950,18200052,942722,3743829,4571422,4768697,3874500,5287650,4470557,2991969,2054102,1225570,577844,155287,8471,27,4.12E-06,0
Spain,ESP,1973,458.62744,Spain,34898150,660686,3246685,9649981,15019832,21713736,25247484,23522208,657014,2585999,3284655,3118641,2789685,4999910,4239587,4578413,3550851,2891672,1639948,509668,47750,686,1.31E-05,2
Sri Lanka,LKA,1973,19.797039,Sri Lanka,13169738,363639,1781422,5111120,7710305,7493789,8058526,7188587,355821,1417783,1721263,1608435,1403128,2222246,1520452,1181622,858992,537772,252175,73782,8357,92,1.50E-06,0
Sweden,SWE,1973,336.5918,Sweden,8156938,110334,555313,1691491,2833264,5283165,6465275,6141480,112894,444979,606349,529829,541636,1285514,993794,944016,1030494,905405,557020,189450,17946,172,4.13E-05,5
Switzerland,CHE,1973,175.4158,Switzerland,6307365,87159,463560,1462393,2399879,4087209,4844908,4566620,90540,376401,513694,485139,459631,999110,887704,773349,651783,591639,361272,110680,9740,64,2.78E-05,6
Taiwan,TWN,1973,119.624985,Taiwan,15933851,400045,2030264,6221933,9653632,9245867,9711890,8545529,400493,1630219,2134383,2057286,1901892,2628088,1867382,1480089,1027578,557061,205561,41866,2373,28,7.51E-06,4
Thailand,THA,1973,89.21048,Thailand,38873064,1257604,6158815,16930358,24623810,20740574,21941286,19315030,1237234,4901211,5761037,5010506,4232072,6163839,4556646,3201805,1916153,1163457,532127,150438,24750,1420,2.29E-06,0
Trinidad and Tobago,TTO,1973,43.14619,Trinidad and Tobago,1026564,27613,127645,399915,622691,581594,626620,552598,26487,100032,132553,139717,122175,176936,105388,84700,67922,43252,20025,5288,934,29,4.20E-05,5
Turkey,TUR,1973,136.55545,Turkey,38028236,1346568,5962669,16054471,23219208,20166964,21973390,19603552,1234393,4616101,5469519,4622283,3944523,5815411,4206732,3189273,2188105,1496028,816038,272597,44684,374,3.59E-06,0
United Arab Emirates,ARE,1973,3.425611,United Arab Emirates,441555,12858,55227,125797,236040,308412,315758,292634,11661,42369,39098,31472,43992,126827,78726,37381,16166,8250,3679,701,36,0,7.76E-06,4
United Kingdom,GBR,1973,1344.5009,United Kingdom,56166630,788153,4291629,13449430,21373322,35069690,42715610,40286990,843813,3503476,4695191,4462610,3974383,8055456,6555283,6631060,6642987,6010931,3522807,1192143,130557,1593,2.39E-05,6
United States,USA,1973,9655.255,United States,207314770,3073924,16379330,54845510,92412856,131506000,152460700,140170720,3206485,13305406,17909250,20556932,20124614,32847692,24076038,23860792,21421380,16591042,9567935,3553633,417578,8555,4.66E-05,5
Venezuela,VEN,1973,152.8878,Venezuela,12424811,423769,2020626,5511138,8040868,6570705,6913653,6028179,410477,1596857,1837755,1652757,1415429,1995048,1329444,973693,644890,363448,153201,36387,2113,20,1.23E-05,2
Vietnam,VNM,1973,63.385323,Vietnam,44891290,1517283,6870924,18767206,27590598,23687682,26123952,22995870,1425834,5353641,6106114,5790168,5000759,6298859,4314331,3889530,2986186,2160326,1161241,292456,20265,127.00001,1.41E-06,0
Algeria,DZA,1974,36.54384,Algeria,15153601,614889,2715555,7087954,10122900,7589845,8065647,7016949,561681,2100666,2271338,2101061,1692279,2298344,1499616,1125092,711615,467535,220263,49753,1150,0,2.41E-06,5
Argentina,ARG,1974,297.124,Argentina,25449752,601194,2786483,7568578,11956559,16099627,17881120,16517433,574586,2185289,2452787,2329308,2253377,4110600,3344073,3018341,2421243,1691721,826916,202780,12070,54,1.17E-05,3
Australia,AUS,1974,351.73514,Australia,13713392,243237,1290063,3817195,6182520,8710598,9895958,9156080,255479,1046826,1232756,1294376,1211014,2278701,1712221,1569818,1374830,1002901,535745,191441,19287,239,2.56E-05,0
Austria,AUT,1974,125.22768,Austria,7597028,95590,521617,1792649,2878762,4692928,5804283,5454698,98591,426027,629131,641901,566571,1031247,1001407,899460,759993,835789,540443,156874,12499,96,1.65E-05,3
Bangladesh,BGD,1974,11.659564,Bangladesh,72947810,3018099,13105660,33187792,46417570,37466308,39760016,35046256,2754840,10087561,10752009,9330124,7491728,10498897,7938126,5926815,4150371,2513162,1061842,176059,3016,0,1.60E-07,5
Belgium,BEL,1974,317.68402,Belgium,9749063,125463,675606,2206449,3701083,6189574,7542468,7076491,131806,550143,739460,791383,767196,1428702,1154880,1280689,1032613,1003549,656219,200511,18109,146,3.26E-05,6
Brazil,BRA,1974,522.1538,Brazil,106167380,3324394,15601767,43529620,65035908,59000524,62637680,55395330,3171224,12277373,14414909,13512944,11678086,17641212,12256206,9195093,6085199,3702703,1687630,375724,15826,77,4.92E-06,1
Bulgaria,BGR,1974,132.98701,Bulgaria,8810681,143867,699380,2026965,3353142,5835520,6783032,6394237,136261,555513,678271,649314,655021,1364420,1153898,1273602,953926,813066,439351,116752,12996,684,1.51E-05,3
Canada,CAN,1974,1027.002,Canada,22812430,342656,1778757,6146376,10567134,14761548,16665369,15268697,343919,1436101,1999949,2367670,2312107,4025292,2831266,2551622,2170774,1551945,853236,326990,42137,684,4.50E-05,4
Chile,CHL,1974,59.826385,Chile,10472748,261790.98,1292172,3812954,5932045,6228428,6659794,5963153,257709.02,1030381.06,1283644,1237138,1133711,1794252,1254682,1085514,706156,443429,200482,40971,597,0,5.71E-06,1
China,CHN,1974,729.073,China,899367700,25363746,133680024,362170100,542042500,502260100,537197440,482557150,26032738,108316270,129817224,98672856,93121880,148168480,98045960,82167930,59212510,37643212,15898573,2840231,98685,82,8.11E-07,5
Colombia,COL,1974,95.57915,Colombia,22897878,714879,3463271,10050886,14926598,12126785,12846957,11159873,693753,2748392,3407740,3179875,2704165,3839359,2362525,1668152,1129559,725219,323588,88538,5852,36,4.17E-06,1
Cyprus,CYP,1974,10.213084,Cyprus,648594,11738,56265,183450,312402,404116,465137,422655,11313,44527,59708,67477,69814,111428,76181,66779,54051,47969,29046,8615,1254,7,1.57E-05,3
Czechia,CZE,1974,114.3211,Czechia,9960863,184657,798999,2155421,3744947,6520612,7805359,7376483,169252,614342,692018,664404,747541,1685005,1214393,1252685,1026555,1106453,614621,147899,10207,83,1.15E-05,3
Denmark,DNK,1974,188.51405,Denmark,5033574,71153,362737,1148600,1892688,3221994,3884886,3664559,73269,291584,400825,385038,368820,798105,646126,560837,576224,505504,311909,106988,10373,88,3.75E-05,2
Ecuador,ECU,1974,18.546286,Ecuador,6911130,248451,1153153,3034843,4404431,3619905,3876277,3417560,235691,904702,1008636,873054,740603,1128848,734214,518952,358497,241175,119242,32561,2185,10,2.68E-06,5
Egypt,EGY,1974,87.76041,Egypt,37930376,1366371,5993440,15662700,22907032,20692056,22267664,19827148,1238774,4627069,5120734,4548526,3955334,6067090,3818201,3469363,2495643,1551771,725727,174662,9872,13,2.31E-06,5
Finland,FIN,1974,136.34688,Finland,4690582,59482,301741,1050873,1883613,3156498,3639686,3401218,57459,242259,361816,387316,405242,863847,595468,566950,489833,433565,225529,55540,3712,23,2.91E-05,6
France,FRA,1974,1430.9877,France,52163550,804224,4190622,12560139,20929764,32606168,39602124,37109980,841930,3386398,4166578,4202939,4143092,8233132,6064388,6620785,4916604,5012057,3349779,1140913,121373,1290,2.74E-05,6
Germany,DEU,1974,1748.5242,Germany,78620536,790845,4656893,17369888,28525528,49743176,61249940,57779470,840962,3866048,6274189,6438807,5672725,10207089,12039409,9615273,7629262,8877425,5539134,1555481,114141,708,2.22E-05,0
Greece,GRC,1974,110.66205,Greece,8729703,141389,716040,2125536,3279063,5537709,6603309,6219145,140354,574651,735767,673729,625008,1095531,1157102,1280219,921942,848826,489552,160008,25121,858,1.27E-05,3
Hong Kong,HKG,1974,58.476112,Hong Kong,4342778,80541,388326,1399300,2355947,2724911,2943417,2616471,79632,307785,451445,559529,524678,732028,444303,501740,383857,230806,98177,25333,2495,61,1.35E-05,3
Hungary,HUN,1974,105.922,Hungary,10457951,165886,755924,2103689,3840252,7049145,8354212,7888598,149756,590038,690511,657254,851812,1646268,1384599,1426253,1121355,1120942,631391,160699,10893,50,1.01E-05,3
Iceland,ISL,1974,7.4100266,Iceland,215291,4363,21330,66040,107249,129754,149246,135751,4518,16967,21783,22927,22011,35492,23467,22459,18680,14132,9196,3516,293,5,3.44E-05,2
India,IND,1974,271.54297,India,609721900,21202718,94526960,246929630,365890180,339752300,362791520,323327040,19503296,73324240,80262780,72139890,64131684,97100424,69957496,55057484,39438576,24480950,10419762,2098747,106407,789,4.45E-07,5
Indonesia,IDN,1974,113.21974,Indonesia,127945190,4384277,20342898,53941944,76805870,69703944,74003090,65971676,4155352,15958621,17987056,15611991,12808953,18722880,15865449,11920501,7552734,4880583,1916789,321104,14093,164,8.85E-07,5
Iran,IRN,1974,219.959,Iran,31895540,1175022,5320889,13765707,20040020,17003552,18129808,16006289,1085470,4145867,4518418,3926400,3411596,4953825,3390083,2788613,1860817,1083195,514731,120151,6798,24,6.90E-06,1
Iraq,IRQ,1974,39.219147,Iraq,11243145,460663,2126580,5178556,7074254,5553552,6064579,5516015,438536,1665917,1749422,1302554,955473,1670025,1147201,833723,671557,497294,242391,44962,1953,10,3.49E-06,5
Ireland,IRL,1974,63.19731,Ireland,3110101,67904,335710,966780,1484904,1804810,2143271,1973177,68090,267806,319751,311319,277796,456127,317500,298109,308814,261711,161228,55981,6005,50,2.03E-05,0
Israel,ISR,1974,72.49729,Israel,3303723,86909,412272,1079607,1715727,1968628,2224099,2032483,81585,325363,345555,321780,318898,586894,345334,315074,271964,238468,115292,29547,2628,17,2.19E-05,0
Italy,ITA,1974,1184.078,Italy,54750684,853141,4332218,13399053,21123090,34790160,41350976,38946336,859918,3479077,4604844,4461991,3954252,7572857,7281177,7250885,5744188,5463120,3023437,975084,85977,654,2.16E-05,0
Japan,JPN,1974,2995.798,Japan,111100024,2051957,9844016,26512780,44152950,75854456,84586350,79890200,2037830,7792059,8612276,8056489,7993704,20121992,17937428,15359293,10199489,7596989,4182735,1106155,88570,888,2.70E-05,6
Kuwait,KWT,1974,49.556572,Kuwait,1030436,39383,188015,462486,649060,551379,567950,508175,38301,148632,155749,118722,96396,178015,138939,84899,42316,17379,8002,1907,97,0,4.81E-05,4
Lower-middle-income countries,,1974,980.6725,Lower-middle-income countries,1376418000,49039880,219302140,570797630,832171970,752470400,805615200,716994800,45327560,170262270,185927620,165567890,142876400,212349440,157303200,123348950,85232216,54697330,24190976,5261048,355656,5165,7.12E-07,5
Luxembourg,LUX,1974,17.504738,Luxembourg,351397,3867,21253,73332,126341,232243,278060,262069,3987,17386,25444,26635,26731,51444,48044,49410,37107,36968,21970,5923,463,5,4.98E-05,4
Malaysia,MYS,1974,52.28298,Malaysia,11335200,356374,1690510,4814017,7274939,6189892,6521181,5674385,345008,1334136,1580506,1543001,1361451,1885463,1234793,866178,623326,386757,136032,25653,1528,2,4.61E-06,1
Mexico,MEX,1974,357.2522,Mexico,56945880,2217050,10243984,26527232,37577868,28519906,30418242,26600600,2104909,8026934,8844302,7438946,6108582,8865483,5860017,4089078,2644276,1696680,866300,258337,29489,408,6.27E-06,1
Morocco,MAR,1974,32.480705,Morocco,16902386,660620,2980766,7758693,11055164,8629217,9143682,7990844,614521,2320146,2549207,2228720,1838166,2503879,1791041,1476466,785472,450062,252267,44076,2253,10,1.92E-06,5
Netherlands,NLD,1974,418.32544,Netherlands,13560532,189595,1090339,3513630,5797764,8602536,10046673,9345820,203833,900744,1203363,1219928,1155387,2293320,1695467,1516576,1353149,1099608,678238,232176,22752,229,3.08E-05,6
New Zealand,NZL,1974,52.95165,New Zealand,3042806,59099,305400,928799,1466972,1847948,2113952,1935782,60899,246301,303663,319736,288161,480937,354045,317333,284840,222149,119359,42025,5103,55,1.74E-05,3
Norway,NOR,1974,92.95792,Norway,3985381,59932,317424,956141,1565631,2491919,3029131,2843954,62357,257492,330180,308537,308608,615113,435076,427663,488476,400710,257661,86942,8882,109,2.33E-05,0
Oman,OMN,1974,14.127883,Oman,754684,34011,146171,353114,485033,375245,401570,355432,30700,112160,113930,93013,73571,109185,80532,55946,40765,26796,12181,2449,145,0,1.87E-05,0
Pakistan,PAK,1974,46.68848,Pakistan,66149172,2566182,11320910,29058740,40968948,34880090,37090420,32891608,2339448,8754728,9535502,8202328,6691204,9844601,7607404,5520538,3868684,2311351,999275,233367,13996,12,7.06E-07,5
Peru,PER,1974,65.89939,Peru,15057182,560754,2554079,6570521,9474182,7871128,8486448,7510441,526924,1993325,2160860,1855582,1574801,2406066,1623504,1173942,788196,539951,273292,93865,12831,213,4.38E-06,1
Philippines,PHL,1974,106.319145,Philippines,41388330,1491883,6995104,18710380,27120868,21504270,22676244,19740408,1424677,5503221,6187205,5528070,4693212,6577106,4396402,3098114,2028737,1208630,491165,139020,43857,1704,2.57E-06,5
Poland,POL,1974,147.14691,Poland,33578680,597400,2745623,8160260,14949017,22299552,25418066,23368352,571205,2148223,2530782,2883855,3455610,5909325,4080976,4421327,2933936,2781432,1461843,347843,25773,354,4.38E-06,1
Portugal,PRT,1974,77.65474,Portugal,9079609,167225,823129,2505415,3969623,5636946,6574077,6101450,167117,655904,839141,843145,769523,1293483,1084335,1121117,934365,791506,426779,141784,11185,117,8.55E-06,1
Qatar,QAT,1974,2.2778795,Qatar,179312,5894,26565,66759,107155,109350,112553,100269,5527,20671,20870,19324,20506,38069,27836,14398,6644,3257,1467,360,16,0,1.27E-05,3
Romania,ROU,1974,142.95157,Romania,20889666,396687,1926714,5055814,8452208,13844034,15833821,14897252,377209,1530027,1761382,1367718,1647979,3197987,2998150,3032125,1942142,1845253,930388,227396,12401,31,6.84E-06,1
Saudi Arabia,SAU,1974,297.71277,Saudi Arabia,7483511,328942,1424638,3345002,4726395,3915716,4138502,3695348,300553,1095696,1072057,848307,723263,1218664,884758,590160,371547,222897,103452,22567,1194,7,3.98E-05,2
Singapore,SGP,1974,87.99668,Singapore,2202332,43219,220567,753914,1274212,1363450,1448414,1274114,45928,177348,247741,285606,283471,413860,262226,201090,145147,97347,37379,7395,499,4,4.00E-05,2
Slovakia,SVK,1974,65.71882,Slovakia,4688474,93183,424099,1224220,2112826,3002760,3464232,3197875,87959,330916,386338,413783,449963,779807,555616,569741,428267,403288,222788,51106,3656,22,1.40E-05,3
South Africa,ZAF,1974,132.2976,South Africa,25077016,886254,4089959,10359414,15205443,13796058,14717460,13131327,843474,3203705,3394114,2875341,2583272,4294692,2915704,2029511,1439203,936613,409237,99052,10176,141,5.28E-06,1
South Korea,KOR,1974,147.48793,South Korea,35319340,897001,4669021,13987967,21032056,20045458,21331348,18768000,920195,3772020,4552276,4766670,4076546,5475625,4539544,3115805,2126962,1237504,584879,162759,11723,26,4.18E-06,1
Spain,ESP,1974,480.74136,Spain,35329900,668423,3276298,9718152,15169607,22001110,25611034,23826002,657917,2607875,3270401,3171453,2872898,5066355,4245728,4628012,3626656,2912602,1690151,519884,48749,712,1.36E-05,3
Sri Lanka,LKA,1974,15.812425,Sri Lanka,13418276,361916,1778121,5142916,7814410,7690307,8275275,7374168,357648,1416205,1736277,1628518,1447660,2280836,1562557,1197978,883696,555701,262811,75755,8281,85,1.18E-06,5
Sweden,SWE,1974,302.31848,Sweden,8193157,109606,555110,1697481,2820637,5284945,6495485,6174108,111010,445504,599420,542951,539572,1266760,1039645,925885,1025991,914388,569179,194940,19125,191,3.69E-05,2
Switzerland,CHE,1974,156.10689,Switzerland,6341220,83052,445339,1448082,2383976,4115570,4893069,4612187,85168,362287,506381,496362,464394,994455,906368,779682,656162,595515,371211,115014,10268,69,2.46E-05,0
Taiwan,TWN,1974,107.38309,Taiwan,16243908,396716,1999419,6198670,9766773,9552833,10045212,8864405,395166,1602703,2116114,2083137,1935903,2778872,1893813,1516471,1064067,589691,218965,44808,2622,26,6.61E-06,1
Thailand,THA,1974,90.82001,Thailand,39900960,1243388,6146670,17171832,25178048,21481092,22727546,20014212,1231562,4903282,5855767,5169394,4375507,6452142,4654132,3327851,1985153,1197427,553271,155494,26568,1585,2.28E-06,5
Trinidad and Tobago,TTO,1974,42.485165,Trinidad and Tobago,1040297,27622,130015,398212,626869,596047,642056,567214,27160,102393,126975,141222,123613,185340,108478,85089,68555,43959,20831,5299,892,29,4.08E-05,2
Turkey,TUR,1974,132.87135,Turkey,38863424,1346794,5948056,16329172,23617492,20674646,22533832,20158156,1245623,4601262,5524096,4857020,3901901,6108904,4297478,3278401,2252086,1513559,839014,291690,50798,419,3.42E-06,5
United Arab Emirates,ARE,1974,4.745511,United Arab Emirates,491963,13938,60131,136577,252576,346894,355386,332607,12639,46193,43816,32630,43819,144703,90784,42729,18312,9709,4392,886,52,0,9.65E-06,1
United Kingdom,GBR,1974,1248.8663,United Kingdom,56233776,742596,4119863,13323172,21262034,35137620,42908920,40414140,783957,3377267,4632738,4570571,4050234,8075533,6662344,6541033,6603847,6031218,3603311,1207858,133542,1685,2.22E-05,0
United States,USA,1974,9271.507,United States,209277970,3020791,16050872,53960136,92595250,133828776,155308910,142877120,3022762,13030081,17467762,20441502,20446534,34000972,24712514,23593964,21810404,16980032,9678038,3644625,441836,8915,4.43E-05,4
Venezuela,VEN,1974,153.03566,Venezuela,12796220,432100,2054612,5613979,8254539,6822133,7182220,6263919,418380,1622512,1871483,1687884,1470580,2087382,1371585,1002354,669438,378871,161062,38659,2289,21,1.20E-05,3
Vietnam,VNM,1974,38.686214,Vietnam,45898700,1535351,7056383,19030136,28280518,24393586,26868424,23572980,1480876,5521032,6106077,5867676,5212147,6703900,4278407,3949769,3022684,2181894,1196312,302056,21254,139,8.43E-07,5
Algeria,DZA,1975,40.63067,Algeria,15724698,651826,2858564,7359419,10503365,7871099,8365279,7283982,589779,2206738,2356831,2144024,1737605,2416124,1523199,1169603,748176,492924,227435,48882,1331,0,2.58E-06,6
Argentina,ARG,1975,280.82806,Argentina,25875562,619195,2877125,7726466,12155985,16308623,18149034,16782996,595003,2257930,2494190,2355151,2267223,4171610,3401597,3032129,2465573,1728293,856065,213090,13455,61,1.09E-05,3
Australia,AUS,1975,348.1045,Australia,13886865,234803,1271903,3809366,6209769,8859162,10077246,9320204,244234,1037100,1250958,1286505,1235299,2322040,1768607,1557398,1398584,1029242,551067,194721,20288,252.99998,2.51E-05,2
Austria,AUT,1975,126.55925,Austria,7576929,93371,498285,1760728,2859336,4691138,5816096,5458169,94529,404914,612490,649953,583016,1035830,1006396,877708,772896,816799,550278,160248,12925,105,1.67E-05,3
Bangladesh,BGD,1975,13.631795,Bangladesh,74700344,3072113,13447247,33933344,47674650,38384750,40767004,35912692,2802219,10375134,10976595,9509503,7727993,10826853,8071795,6024106,4233146,2586231,1104943,188586,3349,0,1.82E-07,6
Belgium,BEL,1975,301.48972,Belgium,9763432,120614,656373,2171539,3683566,6226723,7591740,7119853,125819,535759,722899,792267,776727,1455371,1159763,1266761,1052804,991318,665949,204632,18415,153,3.09E-05,5
