Entity,Code,Year,Oil consumption - TWh,Country name,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25,Population aged 15 to 64 years,Population older than 15 years,Population older than 18 years,Population at age 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years,Oil consumption per capita - TWh,Cluster
Ireland,IRL,1969,43.153435,Ireland,2917193,60806,307235,902323,1377620,1686213,2014835,1853841,60167,246429,307819,287269,255859,377590,292704,318653,313527,244357,152388,54213,5544,35,1.48E-05,6
Israel,ISR,1969,58.12166,Israel,2795473,67726,319064,903201,1459497,1703579,1892262,1709814,63468,251338,292221,291916,301631,433028,309925,292689,255065,191380,83600,22690,2254,10,2.08E-05,3
Italy,ITA,1969,905.27026,Italy,53001508,903991,4625455,13087339,20780294,34167236,39913716,37662828,903695,3721464,4466998,3994886,3834771,7458536,7377497,7137775,5609842,4932757,2643709,853189,65641,452,1.71E-05,3
Japan,JPN,1969,1948.9347,Japan,104102070,1844921,8646692,24586662,44603980,72148020,79514800,74129010,1850244,6801771,8005825,7934145,9675278,19807282,16747549,13011787,9246634,6665865,3407057,888150,65194,617,1.87E-05,3
Kuwait,KWT,1969,55.53032,Kuwait,743053,30895,139982,326258,463238,403426,416795,378272,28948,109087,111023,75253,66050,136930,102977,61393,28946,12833,6151,1460,55,0,7.47E-05,2
Lower-middle-income countries,,1969,733.3376,Lower-middle-income countries,1225854700,44670964,199015760,513265860,732169100,666717000,712585540,636621800,41090092,154344800,168648500,145601620,121853020,181640210,147276980,110487790,77297016,48513336,20676416,4553815,286949,3316,5.98E-07,4
Luxembourg,LUX,1969,15.104541,Luxembourg,338287,4607,24702,75793,121645,221025,262493,247996,4792,20095,25952,25139,23524,45058,48119,45298,38889,36874,18965,5341,425,1,4.47E-05,5
Malaysia,MYS,1969,43.46176,Malaysia,10061684,327295,1604701,4538904,6492875,5269822,5522780,4810506,319925,1277406,1554670,1379533,1133170,1491245,1096746,783549,561712,319894,110675,24364,1425,0,4.32E-06,0
Mexico,MEX,1969,230.15845,Mexico,48714396,2024705,9234529,23103968,32415872,24129884,25610052,22381928,1905063,7209824,7586789,6282651,5165930,7449708,4914111,3502440,2266173,1452198,657017,181383,21093,374,4.72E-06,0
Morocco,MAR,1969,21.551186,Morocco,14876983,605416,2718852,6981385,9595055,7432272,7895592,6933674,559466,2113436,2321018,1941515,1529328,2030481,1762122,1244862,605554,481523,205904,34249,1569,6,1.45E-06,4
Netherlands,NLD,1969,385.83737,Netherlands,12881251,239278,1191263,3535815,5798266,8048182,9345289,8678782,234600,951985,1204796,1139756,1110345,2042125,1569064,1498131,1264944,1032426,608881,201392,17981,147,3.00E-05,1
New Zealand,NZL,1969,40.505108,New Zealand,2786359,61164,296495,895811,1368466,1653516,1890500,1734119,59754,235331,311953,287363,254374,398442,309096,315715,266951,195193,105229,41300,4200,48,1.45E-05,6
Norway,NOR,1969,86.18964,Norway,3847527,66912,328661,944507,1559901,2413647,2902940,2721547,66100,261749,307588,308258,300920,551480,402494,487037,471057,375312,231468,75067,8105,80,2.24E-05,3
Oman,OMN,1969,0.9285111,Oman,653603,28843,123374,293444,409219,336965,360159,321613,25885,94531,94767,75303,61397,101580,71036,51393,37658,24273,10537,2163,122,0,1.42E-06,4
Pakistan,PAK,1969,55.06346,Pakistan,57676804,2260948,10018151,25090380,35310880,30679816,32586408,29195428,2063843,7757203,8278558,6793671,5394232,9127428,6734347,4911918,3376952,1956109,853998,217506,13917,17,9.55E-07,4
Peru,PER,1969,54.147644,Peru,13213738,518630.97,2315279,5831697,8301805,6853132,7381923,6543082,480296,1796648,1911414,1605004,1353766,2014839,1462091,1025086,720584,482680,242956,71166,8755,118,4.10E-06,0
Philippines,PHL,1969,74.82238,Philippines,36477170,1417014,6606166,17186792,24187604,18312504,19289996,16803138,1352737,5189152,5744094,4836532,3951804,5496758,3855735,2666499,1770332,963665,392675,163957,28571,382,2.05E-06,4
Poland,POL,1969,100.078026,Poland,32262060,514461,2554592,8946649,14934555,20743732,23315128,21239522,503060,2040131,2891665,3500392,3377525,4558891,4505965,4045025,2811973,2569681,1144394,281063,20611,282,3.10E-06,4
Portugal,PRT,1969,38.868618,Portugal,8768163,176694,883004,2546877,3906293,5397495,6221189,5771689,175499,706310,863617,800256,732030,1168195,1141067,1067546,894831,716500,365185,125833,10002,97,4.43E-06,0
Qatar,QAT,1969,1.30044,Qatar,104527,4532,18548,35873,53771,66054,68654,64471,4079,14016,10325,7000,7479,22451,19058,10252,5227,2705,1217,257,8,0,1.24E-05,6
Romania,ROU,1969,117.42677,Romania,19711720,357319,1549415,4753393,7989372,13259480,14958304,13884499,349187,1192096,1449582,1754396,1776068,2830164,3172886,2671650,1891782,1637125,766937,203212,8480,24,5.96E-06,0
Saudi Arabia,SAU,1969,237.07051,Saudi Arabia,5844855,260355.98,1118835,2663685,3721072,2991914,3181167,2819235,235710,858479,850112,694738,583070,888532,659042,452453,300578,189930,87897,18713,952,3,4.06E-05,5
Singapore,SGP,1969,80.28362,Singapore,2027412,44472,248863,820643,1233808,1142815,1206767,1058564,47185,204391,286867,284913,236646,312574,236102,176578,134908,77439,26530,5631,359,2,3.96E-05,5
Slovakia,SVK,1969,39.373753,Slovakia,4492217,76264,389725,1260722,2054820,2831918,3231472,2956884,74816,313461,415983,455014,446212,643389,561571,579557,393113,378103,181499,44976,3052,23,8.76E-06,0
South Africa,ZAF,1969,95.32516,South Africa,21704214,797542,3605881,9140807,13349127,11805824,12563286,11199781,747063,2808339,2971343,2563583,2205915,3621492,2400821,1820547,1288638,806591,323638,86835,8809,121,4.39E-06,0
South Korea,KOR,1969,78.77083,South Korea,31912022,920590,4603566,13695658,19322452,17120898,18216362,16261082,908179,3682976,4824276,4267816,3075416,4941023,3930941,2661284,1855462,1114167,522858,111271,3940,1,2.47E-06,4
